GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
controle-custo,com.bordado.controle_custo.web.dto,PageableDto,0,8,0,0,0,2,0,1,0,1
controle-custo,com.bordado.controle_custo.entity,LaborTypes,0,22,0,4,0,4,0,4,0,2
controle-custo,com.bordado.controle_custo.entity,Supplier,0,22,0,4,0,4,0,4,0,2
controle-custo,com.bordado.controle_custo.entity,RawMaterial,0,38,0,4,0,5,0,5,0,3
controle-custo,com.bordado.controle_custo.config,SpringSecurityConfig,0,130,0,0,0,16,0,10,0,10
controle-custo,com.bordado.controle_custo.config,SpringDocConfig,0,47,0,0,0,15,0,3,0,3
controle-custo,com.bordado.controle_custo.web.dto.mapper,SupplierMapper,0,24,0,0,0,3,0,3,0,3
controle-custo,com.bordado.controle_custo.web.dto.mapper,LaborTypesMapper,0,23,0,0,0,4,0,4,0,4
controle-custo,com.bordado.controle_custo.web.dto.mapper,RawMaterialMapper,0,31,0,0,0,7,0,4,0,4
controle-custo,com.bordado.controle_custo.web.dto.mapper,PageableMapper,0,8,0,0,0,1,0,1,0,1
controle-custo,com.bordado.controle_custo.service,SupplierService,0,73,0,2,0,15,0,6,0,5
controle-custo,com.bordado.controle_custo.service,LaborTypesService,0,72,0,2,0,13,0,6,0,5
controle-custo,com.bordado.controle_custo.service,RawMaterialService,0,114,0,0,0,16,0,7,0,7
controle-custo,com.bordado.controle_custo.exceptions,SupplierNotFoundException,0,5,0,0,0,2,0,1,0,1
controle-custo,com.bordado.controle_custo.exceptions,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
controle-custo,com.bordado.controle_custo.exceptions,UniqueNameViolationException,0,4,0,0,0,2,0,1,0,1
controle-custo,com.bordado.controle_custo.web.exception,ApiExceptionHandler,0,58,0,0,0,15,0,5,0,5
controle-custo,com.bordado.controle_custo.web.exception,ErrorMessage,0,76,0,2,0,22,0,5,0,4
controle-custo,com.bordado.controle_custo.web.controller,RawMaterialController,0,38,0,0,0,8,0,4,0,4
controle-custo,com.bordado.controle_custo.web.controller,LabourTypesController,0,49,0,0,0,11,0,5,0,5
controle-custo,com.bordado.controle_custo.web.controller,SupplierController,0,44,0,0,0,10,0,4,0,4
